asset_class,root_symbol,watch_type,event_id,market_id,question,slug,yes_token_id,no_token_id,updated_utc
crypto,PRESIDENTIAL,dynamic,31552,561263,Will Eric Trump win the 2028 US Presidential Election?,will-eric-trump-win-the-2028-us-presidential-election,67028631656597977031363620447645908995417871899828777750494099295092202422178,92435534412344629891924787958876018882926476169555134960124357040149315497159,2026-03-08T13:12:23.109549+00:00
crypto,ETH,fixed,31759,561829,"Russia x Ukraine ceasefire by March 31, 2026?",russia-x-ukraine-ceasefire-by-march-31-2026,24394670903706558879845790079760859552309100903651562795058188175118941818512,82991837887127223585838300135823820957946688171642633953055760547186260528157,2026-03-08T13:12:23.109549+00:00
crypto,DEMOCRATIC,dynamic,30829,559657,Will Stephen A. Smith win the 2028 Democratic presidential nomination?,will-stephen-a-smith-win-the-2028-democratic-presidential-nomination-914,60590045489347122735554346200880179420435533609307820342798544098823516727807,76005700027045000587004110133818166617024719626220722682005164003117993034812,2026-03-08T13:14:04.908949+00:00
stock,BITCOIN,dynamic,249707,1514507,"Bitcoin Up or Down - March 8, 7AM ET",bitcoin-up-or-down-march-8-7am-et,25817794890669397646024658367958898113960333687558329117867640494912648092608,69826167367295251860731276506157499932934052269727006745058479504367508538173,2026-03-08T13:15:49.018827+00:00
stock,ETHEREUM,dynamic,249789,1514731,"Ethereum Up or Down - March 8, 8AM ET",ethereum-up-or-down-march-8-8am-et,38642845613104243999918869126030734792125536260146591614480283519116736964704,94986390318083257935925564861342932700841701424071263095023515861090548828105,2026-03-08T13:15:49.018827+00:00
crypto,DYN_CRYPTO,dynamic,89502,701486,"Will Bitcoin reach $200,000 by December 31, 2026?",will-bitcoin-reach-200000-by-december-31-2026-752-232-389,61368943128255287414565270336856615453000675377332178800733742873558311943412,96993471854400156408670527613150944443359272190785251193551242374636006072800,2026-03-08T13:35:11.364956+00:00
crypto,BTC,fixed,238474,1473040,"Will Bitcoin reach $150,000 in March?",will-bitcoin-reach-150k-in-march-2026,73624432805780182150964443951045800666977811185963019133914618974858599458273,1666184515532238710431784265702709312060757077236443477960106115591255115343,2026-03-08T13:35:11.364956+00:00
crypto,ETH,fixed,238477,1473042,"Will Ethereum reach $4,000 in March?",will-ethereum-reach-4000-in-march-2026,92799638496729089763862479001246438916119767115127271751533536527866552478834,57817609187638877082051374086608861977598876793124526827718549020543647406808,2026-03-08T13:35:11.364956+00:00
crypto,SOL,fixed,238486,1473180,Will Solana reach $160 in March?,will-solana-reach-160-in-march-2026,51434052264606521391274701895857060356227817928326328302355650201056386833442,56366864139724987693887346001806540156648993876362424578246425481555539891929,2026-03-08T13:35:11.364956+00:00
stock,DJIA,dynamic,249805,1514769,Dow Jones (DJIA) Up or Down on March 9?,djia-up-or-down-on-march-9-2026,52516203409703075672050598502631401237159620104509085217445194025340571273037,3325603703301725367238452019913262249722618961182730781916327109169913321155,2026-03-08T13:35:11.364956+00:00
stock,RUT,dynamic,249817,1514793,Russell 2000 (RUT) Up or Down on March 9?,rut-up-or-down-on-march-9-2026,57428543285287597341528689686699296250539981454415394325965394964030076863268,104892791197413121166517940200456279179205094506569283136340591607043161489989,2026-03-08T13:35:11.364956+00:00
stock,AAPL,fixed,249781,1514702,Apple (AAPL) Up or Down on March 9?,aapl-up-or-down-on-march-9-2026,19808226147348083897031959012798230973450854960848627704456912704664532346436,13406518761729931961851615682453860241282457569552758228894677915615681094572,2026-03-08T13:35:11.364956+00:00
stock,AMZN,fixed,249797,1514757,Amazon (AMZN) Up or Down on March 9?,amzn-up-or-down-on-march-9-2026,80021219607008516528277442260193352185410153761966836886502140161998011892162,108853950520272559879130318602344824962632416557435331993641412412547807514702,2026-03-08T13:35:11.364956+00:00
stock,GOOGL,fixed,249802,1514766,Google (GOOGL) Up or Down on March 9?,googl-up-or-down-on-march-9-2026,44094010161024409927882814596723998290878704424720501457902745248193279794638,44108991473389127286246908894094910158330910061089014013289228154594781444101,2026-03-08T13:35:11.364956+00:00
stock,META,fixed,249807,1514776,Meta (META) Up or Down on March 9?,meta-up-or-down-on-march-9-2026,73166033314283110009347257655712887226811646343697308703062045958407983472737,87372177300150091355978158066364872197704591449573578077878286609425513279007,2026-03-08T13:35:11.364956+00:00
stock,MSFT,fixed,249788,1514728,Microsoft (MSFT) Up or Down on March 9?,msft-up-or-down-on-march-9-2026,17932175904709841050757450376495648544912859661747335309477900452831421905943,10849812493464692234971662275320979942310477817346053571126235137496324339560,2026-03-08T13:35:11.364956+00:00
stock,NVDA,fixed,249814,1514788,NVIDIA (NVDA) Up or Down on March 9?,nvda-up-or-down-on-march-9-2026,107731417537085896064617291253564218357600872887497859202931430206765912668795,30716536267704046180051595697181677132234959571791300574305038309444561758532,2026-03-08T13:35:11.364956+00:00
stock,QQQ,fixed,249800,1514760,Nasdaq 100 (NDX) Up or Down on March 9?,ndx-up-or-down-on-march-9-2026,41077923857005684486434331436029649826844080557432727127668986516421384271531,42817902740054886564815045991365263663087863431558705933010902738071429912105,2026-03-08T13:35:11.364956+00:00
stock,SPY,fixed,249779,1514700,S&P 500 (SPX) Opens Up or Down on March 9?,spx-opens-up-or-down-on-march-9-2026,41751941435480152233706903670604775275958258669449302421717366992676747977614,45379801591097220611191398942520142321696792130314686981119830430212386629543,2026-03-08T13:35:11.364956+00:00
stock,TSLA,fixed,249811,1514783,Tesla (TSLA) Up or Down on March 9?,tsla-up-or-down-on-march-9-2026,113248621371775075995138979725094566101118806835417857921889574420383030829670,112523302540312047709742559845090679057036326487943124442344035385727378289601,2026-03-08T13:35:11.364956+00:00
